Generation 0 average: 690.1871428571428 , Best so far: 49880.0
Generation 1 average: 714.6029908163265 , Best so far: 48349.0
Generation 2 average: 244.78971642201168 , Best so far: 47198.0
Generation 3 average: 250.0134212260157 , Best so far: 47198.0
Generation 4 average: 253.13215244373285 , Best so far: 47198.0
Generation 5 average: 248.70509439460267 , Best so far: 47198.0
Generation 6 average: 246.43836078171046 , Best so far: 47198.0
Generation 7 average: 247.10602740055836 , Best so far: 47198.0
Generation 8 average: 251.18007573385756 , Best so far: 47198.0
Generation 9 average: 248.39084291123848 , Best so far: 47198.0
Generation 10 average: 247.79885060207943 , Best so far: 47198.0
Generation 11 average: 250.55199917900148 , Best so far: 47198.0
Generation 12 average: 242.53967999941358 , Best so far: 47198.0
Generation 13 average: 251.93467119999957 , Best so far: 47198.0
Generation 14 average: 247.36423905085715 , Best so far: 47198.0
Generation 15 average: 251.86526017075064 , Best so far: 47198.0
Generation 16 average: 247.06490375726483 , Best so far: 47198.0
Generation 17 average: 254.1071892169695 , Best so far: 47198.0
Generation 18 average: 252.22436227801214 , Best so far: 47198.0
Generation 19 average: 254.77444597305572 , Best so far: 47198.0
Generation 20 average: 248.21055317569503 , Best so far: 47198.0
Generation 21 average: 251.23300753798264 , Best so far: 47198.0
Generation 22 average: 252.43302357681287 , Best so far: 47198.0
Generation 23 average: 258.02888073112626 , Best so far: 47198.0
Generation 24 average: 246.36430634337938 , Best so far: 47198.0
Generation 25 average: 251.08097450453099 , Best so far: 47198.0
Generation 26 average: 253.69862926750324 , Best so far: 47198.0
Generation 27 average: 251.1240704494768 , Best so far: 47198.0
Generation 28 average: 249.13008862174965 , Best so far: 47039.0
Generation 29 average: 246.23223577758696 , Best so far: 47039.0
Generation 30 average: 249.24659445412686 , Best so far: 47039.0
Generation 31 average: 251.4173189960387 , Best so far: 47039.0
Generation 32 average: 250.5988695135686 , Best so far: 47039.0
Generation 33 average: 246.46257062108114 , Best so far: 47039.0
Generation 34 average: 250.03033040758646 , Best so far: 47039.0
Generation 35 average: 247.53645023600538 , Best so far: 46847.0
Generation 36 average: 252.37752603588285 , Best so far: 46847.0
Generation 37 average: 246.61169823288276 , Best so far: 46847.0
Generation 38 average: 244.9361512130235 , Best so far: 46847.0
Generation 39 average: 248.81781153658073 , Best so far: 46847.0
Generation 40 average: 242.189155579669 , Best so far: 46847.0
Generation 41 average: 249.1772779682712 , Best so far: 46847.0
Generation 42 average: 251.94584091283448 , Best so far: 46847.0
Generation 43 average: 246.25424702922348 , Best so far: 46847.0
Generation 44 average: 245.4273244621637 , Best so far: 46847.0
Generation 45 average: 254.7388766603301 , Best so far: 46847.0
Generation 46 average: 250.11124205475738 , Best so far: 46847.0
Generation 47 average: 249.0957937443248 , Best so far: 46847.0
Generation 48 average: 249.14006842410308 , Best so far: 46847.0
Generation 49 average: 253.33438576316007 , Best so far: 46847.0
Generation 50 average: 249.59238170411655 , Best so far: 46847.0

