Generation 0 average: 734.7035714285714 , Best so far: 49880.0
Generation 1 average: 7954.056216836734 , Best so far: 40050.0
Generation 2 average: 5222.525040154884 , Best so far: 36746.0
Generation 3 average: 5389.151089314397 , Best so far: 35730.0
Generation 4 average: 5402.275107920939 , Best so far: 35175.0
Generation 5 average: 5423.229482219944 , Best so far: 35175.0
Generation 6 average: 5210.540163915872 , Best so far: 34780.0
Generation 7 average: 5233.268242974225 , Best so far: 34416.0
Generation 8 average: 5472.480905887838 , Best so far: 34416.0
Generation 9 average: 5353.1132006470625 , Best so far: 33052.0
Generation 10 average: 5468.40079514332 , Best so far: 33052.0
Generation 11 average: 5390.248143425102 , Best so far: 33052.0
Generation 12 average: 5349.3001772453035 , Best so far: 33052.0
Generation 13 average: 5399.648071555175 , Best so far: 33052.0
Generation 14 average: 5263.836177193968 , Best so far: 33052.0
Generation 15 average: 5239.497740126568 , Best so far: 33052.0
Generation 16 average: 5172.504641242948 , Best so far: 33052.0
Generation 17 average: 5420.10178902946 , Best so far: 33052.0
Generation 18 average: 5131.767215563593 , Best so far: 33052.0
Generation 19 average: 5169.202690868259 , Best so far: 33052.0
Generation 20 average: 5565.454430493477 , Best so far: 33052.0
Generation 21 average: 5304.492467450353 , Best so far: 33052.0
Generation 22 average: 5369.592494619607 , Best so far: 33052.0
Generation 23 average: 5225.695423210443 , Best so far: 33052.0
Generation 24 average: 5264.160496730864 , Best so far: 33052.0
Generation 25 average: 5424.074400354807 , Best so far: 33052.0
Generation 26 average: 5229.8636245716825 , Best so far: 33052.0
Generation 27 average: 5271.417759731837 , Best so far: 33052.0
Generation 28 average: 5195.310298399808 , Best so far: 33052.0
Generation 29 average: 5416.468793070286 , Best so far: 33052.0
Generation 30 average: 5401.627477709336 , Best so far: 33052.0
Generation 31 average: 5236.928305341221 , Best so far: 33052.0
Generation 32 average: 5430.519234503815 , Best so far: 32996.0
Generation 33 average: 5205.172513738931 , Best so far: 32996.0
Generation 34 average: 5447.506551795528 , Best so far: 32996.0
Generation 35 average: 5293.849647536997 , Best so far: 32996.0
Generation 36 average: 5242.779178319669 , Best so far: 32996.0
Generation 37 average: 5483.775556555943 , Best so far: 32996.0
Generation 38 average: 5264.176982540397 , Best so far: 32996.0
Generation 39 average: 5377.509412130386 , Best so far: 32996.0
Generation 40 average: 5106.287506722951 , Best so far: 32996.0
Generation 41 average: 5346.092348219087 , Best so far: 32996.0
Generation 42 average: 5394.085065963013 , Best so far: 32996.0
Generation 43 average: 5164.8836321899735 , Best so far: 32996.0
Generation 44 average: 5225.0706311658505 , Best so far: 32996.0
Generation 45 average: 5278.942193307976 , Best so far: 32996.0
Generation 46 average: 5441.041387280934 , Best so far: 32996.0
Generation 47 average: 5407.505743848057 , Best so far: 32996.0
Generation 48 average: 5415.410361245606 , Best so far: 32996.0
Generation 49 average: 5325.175293115175 , Best so far: 32996.0
Generation 50 average: 5383.14369663794 , Best so far: 32996.0

