Generation 0 average: 746.1985714285714 , Best so far: 48598.0
Generation 1 average: 4232.791570408163 , Best so far: 45025.0
Generation 2 average: 1721.5805654074345 , Best so far: 44862.0
Generation 3 average: 1788.5168432610053 , Best so far: 44787.0
Generation 4 average: 1717.8889406023295 , Best so far: 44066.0
Generation 5 average: 1752.6363492432874 , Best so far: 43808.0
Generation 6 average: 1774.8690259637451 , Best so far: 43808.0
Generation 7 average: 1752.5306207328313 , Best so far: 43808.0
Generation 8 average: 1759.7068075862378 , Best so far: 43808.0
Generation 9 average: 1713.4783620054188 , Best so far: 43808.0
Generation 10 average: 1733.378913115718 , Best so far: 43808.0
Generation 11 average: 1800.7045563665113 , Best so far: 43808.0
Generation 12 average: 1726.3805032545474 , Best so far: 43808.0
Generation 13 average: 1744.4259860737532 , Best so far: 43808.0
Generation 14 average: 1804.0967328471957 , Best so far: 43808.0
Generation 15 average: 1803.410069094891 , Best so far: 43808.0
Generation 16 average: 1684.5002929064965 , Best so far: 43808.0
Generation 17 average: 1845.1003573520761 , Best so far: 43808.0
Generation 18 average: 1771.6872145409657 , Best so far: 43679.0
Generation 19 average: 1729.8676337246723 , Best so far: 43679.0
Generation 20 average: 1774.7927625955176 , Best so far: 43679.0
Generation 21 average: 1789.951280544711 , Best so far: 43679.0
Generation 22 average: 1770.8435366289605 , Best so far: 43679.0
Generation 23 average: 1817.5806025261634 , Best so far: 43679.0
Generation 24 average: 1774.2682718589472 , Best so far: 43679.0
Generation 25 average: 1752.809477337042 , Best so far: 43679.0
Generation 26 average: 1748.2812924838122 , Best so far: 43679.0
Generation 27 average: 1816.0366294946311 , Best so far: 43679.0
Generation 28 average: 1875.362883306782 , Best so far: 43679.0
Generation 29 average: 1733.767402059505 , Best so far: 43679.0
Generation 30 average: 1745.7805481443281 , Best so far: 43679.0
Generation 31 average: 1667.7219861058172 , Best so far: 43679.0
Generation 32 average: 1788.759801418647 , Best so far: 43679.0
Generation 33 average: 1784.8098284295847 , Best so far: 43679.0
Generation 34 average: 1766.7012927345925 , Best so far: 43679.0
Generation 35 average: 1721.190500923382 , Best so far: 43679.0
Generation 36 average: 1762.8308503578025 , Best so far: 43679.0
Generation 37 average: 1759.032736321684 , Best so far: 43679.0
Generation 38 average: 1722.6035948116585 , Best so far: 43679.0
Generation 39 average: 1778.2232882820083 , Best so far: 43679.0
Generation 40 average: 1814.7694452059156 , Best so far: 43679.0
Generation 41 average: 1800.751263889433 , Best so far: 43679.0
Generation 42 average: 1707.3176794742067 , Best so far: 43679.0
Generation 43 average: 1699.8037983424815 , Best so far: 43679.0
Generation 44 average: 1741.0384312845304 , Best so far: 43679.0
Generation 45 average: 1815.1207417366318 , Best so far: 43679.0
Generation 46 average: 1832.8579433869547 , Best so far: 43679.0
Generation 47 average: 1813.3527556738477 , Best so far: 43679.0
Generation 48 average: 1802.3509662540525 , Best so far: 43679.0
Generation 49 average: 1757.8931078330388 , Best so far: 43679.0
Generation 50 average: 1748.5227807913095 , Best so far: 43679.0

