Generation 0 average: 589.5142857142857 , Best so far: 49880.0
Generation 1 average: 580.1653673469388 , Best so far: 48394.0
Generation 2 average: 1839.135832405248 , Best so far: 48340.0
Generation 3 average: 1879.0093827374324 , Best so far: 47241.0
Generation 4 average: 314.5100067019553 , Best so far: 46396.0
Generation 5 average: 258.17536429050136 , Best so far: 46192.0
Generation 6 average: 233.62655383163604 , Best so far: 45958.0
Generation 7 average: 247.0183046813083 , Best so far: 45958.0
Generation 8 average: 249.84858450334377 , Best so far: 45958.0
Generation 9 average: 259.4606061317881 , Best so far: 45958.0
Generation 10 average: 240.06032900437987 , Best so far: 45958.0
Generation 11 average: 233.16504309214596 , Best so far: 45958.0
Generation 12 average: 254.76940360220868 , Best so far: 45958.0
Generation 13 average: 226.08697814543015 , Best so far: 45958.0
Generation 14 average: 250.2314906986753 , Best so far: 45915.0
Generation 15 average: 217.93445106478475 , Best so far: 45915.0
Generation 16 average: 234.81781032218913 , Best so far: 45915.0
Generation 17 average: 237.28344129308726 , Best so far: 45915.0
Generation 18 average: 252.07448817235218 , Best so far: 45830.0
Generation 19 average: 225.03862463440882 , Best so far: 45830.0
Generation 20 average: 243.55931330331026 , Best so far: 45830.0
Generation 21 average: 258.0225423666452 , Best so far: 45830.0
Generation 22 average: 214.95573038740474 , Best so far: 45830.0
Generation 23 average: 244.8578255217053 , Best so far: 45745.0
Generation 24 average: 237.1170413039441 , Best so far: 45745.0
Generation 25 average: 274.34651217235995 , Best so far: 45503.0
Generation 26 average: 266.18024750869455 , Best so far: 45503.0
Generation 27 average: 230.61870017679192 , Best so far: 45503.0
Generation 28 average: 248.2025847858406 , Best so far: 45503.0
Generation 29 average: 272.4337161319899 , Best so far: 45503.0
Generation 30 average: 230.9660240829514 , Best so far: 45503.0
Generation 31 average: 218.72211858863068 , Best so far: 45503.0
Generation 32 average: 243.73694437042045 , Best so far: 45503.0
Generation 33 average: 239.22052638883602 , Best so far: 45503.0
Generation 34 average: 253.24801466170632 , Best so far: 45503.0
Generation 35 average: 232.28660572475837 , Best so far: 45503.0
Generation 36 average: 258.65877614694625 , Best so far: 45503.0
Generation 37 average: 263.5940419829621 , Best so far: 45503.0
Generation 38 average: 270.0111386014164 , Best so far: 45503.0
Generation 39 average: 236.32857938471528 , Best so far: 45503.0
Generation 40 average: 240.3959489852748 , Best so far: 45503.0
Generation 41 average: 240.61599710641804 , Best so far: 45503.0
Generation 42 average: 251.1732971407903 , Best so far: 45503.0
Generation 43 average: 241.68298092652915 , Best so far: 45503.0
Generation 44 average: 242.27191641494753 , Best so far: 45503.0
Generation 45 average: 252.7651942260107 , Best so far: 45503.0
Generation 46 average: 247.15768942444714 , Best so far: 45503.0
Generation 47 average: 258.3515412067318 , Best so far: 45503.0
Generation 48 average: 242.3923939580048 , Best so far: 45503.0
Generation 49 average: 240.5531374242557 , Best so far: 45503.0
Generation 50 average: 264.07968081244593 , Best so far: 45376.0

