Generation 0 average: 574.4321428571428 , Best so far: 49477.0
Generation 1 average: 3397.598165816327 , Best so far: 40684.0
Generation 2 average: 3797.0397129755834 , Best so far: 40684.0
Generation 3 average: 3765.5714569378397 , Best so far: 40684.0
Generation 4 average: 3688.674693897813 , Best so far: 40684.0
Generation 5 average: 3783.284767638498 , Best so far: 40684.0
Generation 6 average: 3738.4480605483136 , Best so far: 40684.0
Generation 7 average: 3806.339605757534 , Best so far: 40684.0
Generation 8 average: 3728.554528289827 , Best so far: 40684.0
Generation 9 average: 3792.7089675202074 , Best so far: 40684.0
Generation 10 average: 3776.2497921196573 , Best so far: 40684.0
Generation 11 average: 3769.3658927086567 , Best so far: 40684.0
Generation 12 average: 3733.1295470662203 , Best so far: 40684.0
Generation 13 average: 3783.5000925336185 , Best so far: 40684.0
Generation 14 average: 3747.4782143518096 , Best so far: 40684.0
Generation 15 average: 3766.301055867394 , Best so far: 40684.0
Generation 16 average: 3762.426643611334 , Best so far: 40684.0
Generation 17 average: 3737.37744760258 , Best so far: 40684.0
Generation 18 average: 3749.076698176859 , Best so far: 40684.0
Generation 19 average: 3735.5621976415546 , Best so far: 40684.0
Generation 20 average: 3792.153972998315 , Best so far: 40684.0
Generation 21 average: 3657.2586814092847 , Best so far: 40684.0
Generation 22 average: 3775.4708990581494 , Best so far: 40684.0
Generation 23 average: 3788.804622070756 , Best so far: 40684.0
Generation 24 average: 3745.1155747300504 , Best so far: 40684.0
Generation 25 average: 3751.410796839093 , Best so far: 40684.0
Generation 26 average: 3764.0602934263134 , Best so far: 40684.0
Generation 27 average: 3728.8879002095905 , Best so far: 40684.0
Generation 28 average: 3749.354919928721 , Best so far: 40684.0
Generation 29 average: 3720.8981106570923 , Best so far: 40684.0
Generation 30 average: 3784.3592129361837 , Best so far: 40684.0
Generation 31 average: 3770.581685152097 , Best so far: 40684.0
Generation 32 average: 3737.07470120368 , Best so far: 40684.0
Generation 33 average: 3781.25291050086 , Best so far: 40684.0
Generation 34 average: 3776.050894936072 , Best so far: 40684.0
Generation 35 average: 3824.269322067812 , Best so far: 40684.0
Generation 36 average: 3816.607335230048 , Best so far: 40684.0
Generation 37 average: 3816.0975766680217 , Best so far: 40684.0
Generation 38 average: 3773.994355411906 , Best so far: 40684.0
Generation 39 average: 3671.6399959681517 , Best so far: 40684.0
Generation 40 average: 3769.6533142828343 , Best so far: 40684.0
Generation 41 average: 3707.4861809387735 , Best so far: 40684.0
Generation 42 average: 3718.6260615578135 , Best so far: 40684.0
Generation 43 average: 3730.9847329011127 , Best so far: 40684.0
Generation 44 average: 3781.1721319520725 , Best so far: 40684.0
Generation 45 average: 3816.54440866568 , Best so far: 40684.0
Generation 46 average: 3792.6625317204757 , Best so far: 40684.0
Generation 47 average: 3811.0754732369433 , Best so far: 40684.0
Generation 48 average: 3793.725053909455 , Best so far: 40684.0
Generation 49 average: 3733.3912321813636 , Best so far: 40684.0
Generation 50 average: 3719.2445651658436 , Best so far: 40684.0

