Generation 0 average: 554.0142857142857 , Best so far: 49440.0
Generation 1 average: 2798.9421530612244 , Best so far: 46473.0
Generation 2 average: 2491.901387252187 , Best so far: 46268.0
Generation 3 average: 2460.274929562323 , Best so far: 46061.0
Generation 4 average: 2478.3044820925447 , Best so far: 45984.0
Generation 5 average: 2418.118074630066 , Best so far: 45822.0
Generation 6 average: 2424.165084339021 , Best so far: 45768.0
Generation 7 average: 2360.1715464888134 , Best so far: 45596.0
Generation 8 average: 2446.4379796760636 , Best so far: 45528.0
Generation 9 average: 2428.1003128426255 , Best so far: 44944.0
Generation 10 average: 2467.9829287948874 , Best so far: 44924.0
Generation 11 average: 2412.0514163777107 , Best so far: 44924.0
Generation 12 average: 2417.842893868841 , Best so far: 44924.0
Generation 13 average: 2469.028459209906 , Best so far: 44924.0
Generation 14 average: 2412.090020328007 , Best so far: 44924.0
Generation 15 average: 2377.2386357288055 , Best so far: 44924.0
Generation 16 average: 2438.160170454092 , Best so far: 44924.0
Generation 17 average: 2398.206542978896 , Best so far: 44924.0
Generation 18 average: 2400.3630046735566 , Best so far: 44924.0
Generation 19 average: 2425.599545003338 , Best so far: 44924.0
Generation 20 average: 2393.2618568178596 , Best so far: 44924.0
Generation 21 average: 2406.320187040584 , Best so far: 44924.0
Generation 22 average: 2387.2288001336005 , Best so far: 44924.0
Generation 23 average: 2410.5773062858098 , Best so far: 44924.0
Generation 24 average: 2457.8161266473467 , Best so far: 44924.0
Generation 25 average: 2487.4091543761765 , Best so far: 44924.0
Generation 26 average: 2397.68100653884 , Best so far: 44924.0
Generation 27 average: 2496.6712007189562 , Best so far: 44924.0
Generation 28 average: 2386.0140508576565 , Best so far: 44924.0
Generation 29 average: 2450.6621528934697 , Best so far: 44924.0
Generation 30 average: 2383.224758680638 , Best so far: 44924.0
Generation 31 average: 2405.155160541915 , Best so far: 44924.0
Generation 32 average: 2397.2086822575297 , Best so far: 44924.0
Generation 33 average: 2405.9980062016125 , Best so far: 44924.0
Generation 34 average: 2438.0714271472866 , Best so far: 44924.0
Generation 35 average: 2450.635051019391 , Best so far: 44924.0
Generation 36 average: 2470.0561678935856 , Best so far: 44924.0
Generation 37 average: 2422.1336115484955 , Best so far: 44924.0
Generation 38 average: 2370.176524008249 , Best so far: 44924.0
Generation 39 average: 2456.6572689457203 , Best so far: 44924.0
Generation 40 average: 2395.185469477818 , Best so far: 44885.0
Generation 41 average: 2431.9622753353415 , Best so far: 44885.0
Generation 42 average: 2388.1606873395253 , Best so far: 44885.0
Generation 43 average: 2351.752971919528 , Best so far: 44885.0
Generation 44 average: 2356.335537837085 , Best so far: 44885.0
Generation 45 average: 2387.6702396698834 , Best so far: 44885.0
Generation 46 average: 2398.714050171193 , Best so far: 44885.0
Generation 47 average: 2418.0483671786938 , Best so far: 44885.0
Generation 48 average: 2510.9071774051276 , Best so far: 44885.0
Generation 49 average: 2437.6320765552896 , Best so far: 44885.0
Generation 50 average: 2396.431165768968 , Best so far: 44885.0

